城市,岗位,薪酬,技能,工作经验,学历,职位类型,人数,公司名称,公司类型,公司规模,公司行业,地址,职位更新日期
北京,人工智能开发工程师,1.2-1.5万·13薪,"['深度学习', '机器学习']",3-5年,本科,全职,1,北京信诺时代,国企,100-299人,IT服务,北京·海淀·花园路,2025/4/1
北京,人工智能产业应用工程师,1.5-30万,,经验不限,哈哈,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能算法工程师,2-3.5万,,经验不限,硕士,全职,30,北京龙双利达知识产权代理有限公司,民营,100-299人,专利/商标/知识产权,北京·海淀,2025/4/1
北京,AI人工智能算法工程师,2-4万,"['深度学习', '机器学习', '大模型算法']",经验不限,硕士,全职,1,康龙化成,上市公司,10000人以上,医药制造,北京·大兴·博兴,2025/4/1
北京,人工智能研究员2025SBZ01,2-2.5万,['人工智能'],1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·海淀,2025/3/5
北京,数据分析师（大厂项目，稳定待遇好）,1-1.6万,,经验不限,本科,全职,5,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·海淀·马连洼,2025/3/19
北京,人工智能技术研究员,1-1.5万,,3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据分析师,1.1-1.5万,"['报表开发', '数据挖掘']",3-5年,本科,全职,2,北京经纬中天信息技术有限公司,民营,100-299人,计算机软件,北京·海淀,2025/2/25
北京,主数据工程师（人工智能部）,面议,['数据治理'],3-5年,本科,全职,2,国家电投集团数字科技有限公司,国企,500-999人,IT服务,北京·昌平·北七家,2025/1/2
北京,人工智能算法与评测研究员25SLH10,1.7-1.9万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能产品经理,2.5-5万,['大模型'],5-10年,本科,全职,3,苏州人瑞普惠人力资源服务有限公司,上市公司,500-999人,互联网,北京·海淀·上地,2025/3/25
北京,数据处理技术员,7000-10000元·13薪,"['数据治理', '数据挖掘', 'Python']",经验不限,大专,全职,3,江苏盛羽达生物科技有限公司,其它,100-299人,生物工程,北京·海淀·西北旺,2024/12/30
北京,人工智能软件算法研究员,1.5-2万,"['深度学习', '机器学习']",1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据治理工程师（人工智能部）,面议,['数据治理'],3-5年,本科,全职,2,国家电投集团数字科技有限公司,国企,500-999人,IT服务,北京·昌平·北七家,2025/1/2
北京,人工智能软硬件开发工程师,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能行业研究岗,1-2万,,3-5年,硕士,全职,2,工信(北京)产业发展研究院有限公司,国企,20-99人,科学技术推广,北京·海淀·万寿路,2025/3/5
北京,数据分析岗,1-2万,['Python'],3-5年,本科,全职,1,中国旅游集团旅行服务有限公司,国企,500-999人,旅游服务,北京·东城·东华门,2025/1/21
北京,数据分析师,7000-11000元,"['数据挖掘', '数据治理', 'Sql', 'Python', 'R语言']",经验不限,本科,全职,10,首聘(北京)科技有限公司,民营,1000-9999人,企业服务,北京·海淀·马连洼,2025/3/19
北京,IT技术支持（桌面运维）+人工智能上市企业,1-1.2万,['桌面运维'],3-5年,本科,全职,1,外企德科人力资源服务安徽有限公司,国企,100-299人,咨询服务,北京·海淀·上地,2025/3/27
北京,ai人工智能软件实施,1-1.5万,['软件实施'],1-3年,本科,全职,1,北京中天瑞合科技有限公司,民营,100-299人,IT服务,北京·海淀,2025/4/1
北京,数据分析工程师（深度学习 机器学习）,1.3-2.5万,"['深度学习', '机器学习']",经验不限,本科,全职,1,科锐尔人力资源服务(苏州)有限公司,上市公司,1000-9999人,咨询服务,北京·海淀·马连洼,2025/3/31
北京,投资合伙人,5-10万,,经验不限,学历不限,全职,6,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·海淀,2025/2/8
北京,标准化领域人工智能应用后端开发岗,1.2-1.5万,"['Java', 'PostgreSQL', 'MySQL']",经验不限,本科,全职,3,中国标准化研究院,事业单位,500-999人,学术/科研,北京·海淀·北太平庄,2025/3/13
北京,人事专员（招聘方向）,8000-15000元·13薪,"['社会招聘', '销售岗招聘', '职能岗招聘', '技术岗招聘']",1-3年,本科,全职,1,北京因时机器人科技有限公司,民营,100-299人,通用设备制造,北京·石景山·古城,2025/3/24
北京,城市合伙人（AI人工智能）,5-10万,,经验不限,学历不限,全职,10,郑州中润人工智能科技有限公司,合资,1000-9999人,人工智能,北京·朝阳·建外,2025/3/5
北京,AI算法专家,5-9万·14薪,"['自然语言处理', 'Python', '大模型算法', '教育行业']",经验不限,本科,全职,1,厦门贤士达信息咨询有限公司,民营,20-99人,人力资源服务,北京·海淀·上地,2025/3/21
北京,ai人工智能算法工程师可应届可小白,8000-15000元,"['机器学习', '图像算法', '语音识别']",无经验,本科,全职,1,赤峰谛禾汽车科技有限公司,其它,500-999人,专业技术服务,北京·海淀·中关村,2025/3/29
北京,人工智能产业应用研究员,1.5-2万,,3-5年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,数据分析师,1-1.5万·13薪,"['数据治理', '数据挖掘', 'Python', 'Power BI', 'SQL', 'BI工具', '数据运营']",1-3年,本科,全职,1,北京中成康富科技股份有限公司,股份制企业,100-299人,医疗设备/器械,北京·西城·广安门内,2025/3/10
北京,人工智能应用产品经理,1.9-2.3万,['智能机器人'],1-3年,本科,全职,1,国网信通亿力科技有限责任公司,国企,1000-9999人,计算机软件,北京·丰台·右安门,2025/1/3
北京,跨境网络案件人工智能大数据分析师,1.1-2.2万·14薪,,经验不限,学历不限,全职,1,国开青旅集团有限公司,股份制企业,100-299人,房地产开发,北京·朝阳,2024/12/22
北京,AI 研发工程师,1-1.5万,,1-3年,本科,全职,1,中科软科技股份有限公司,股份制企业,1000-9999人,计算机软件,北京·朝阳·奥运村,2025/3/31
北京,Python软件工程师(大语言模型部署),1.5-3万,,3-5年,本科,全职,1,数界(深圳)科技有限公司,合资,20-99人,人工智能,北京·海淀·花园路,2025/3/29
北京,人工智能分析及大模型研究员,1.2-1.6万,,经验不限,本科,全职,2,北京冶自欧博科技发展有限公司,股份制企业,100-299人,工业自动化,北京·丰台·丰台街道,2025/2/21
北京,数据分析师+双休,7000-12000元·13薪,,经验不限,本科,全职,10,安徽控能信息科技有限公司,民营,100-299人,仪器仪表制造,北京·东城·北新桥,2025/3/5
北京,nlp算法工程师,1.5-2万,"['文本生成', 'LANGCHAIN', 'LLAMAINDEX', '对话系统', 'Python', '算法工程化']",1-3年,本科,全职,1,中科软科技股份有限公司,股份制企业,1000-9999人,计算机软件,北京·昌平·北七家,2025/1/22
北京,人工智能技术产业分析及生态运营岗,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能研究员,1.4-2万,['金融机构'],1-3年,硕士,全职,1,国海证券,上市公司,1000-9999人,证券/期货,北京·海淀·甘家口,2025/3/13
北京,python爬虫工程师,1-1.2万,"['Python', 'Java', '数据采集', '数据清洗', '爬虫开发']",1年以下,本科,全职,1,北京国科锐观科技有限公司,民营,20-99人,人工智能,北京·海淀·海淀街道,2024/8/16
北京,数据分析师,1.2-1.8万·15薪,"['数据分析', '数据统计']",经验不限,本科,全职,1,明亚保险经纪股份有限公司,股份制企业,10000人以上,保险,北京·朝阳·朝外,2025/3/22
北京,人工智能科研开发工程师,1-1.5万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能实施顾问,3-5.5万,,3-5年,本科,全职,3,北京神舟航天软件技术股份有限公司,国企,1000-9999人,计算机软件,北京·海淀,2025/3/28
北京,AI开发工程师,8000-16000元,,经验不限,本科,全职,5,北京昌佳泵业有限公司,民营,100-299人,通用设备制造,北京·海淀·紫竹院,2025/3/14
北京,AI应用工程师,1.5-2万,"['大模型算法', 'Python', 'DIFY', 'COZE', 'RAG', 'AI AGENT', 'RAGFLOW']",3-5年,本科,全职,1,北京点点智联科技有限公司,其它,20-99人,IT服务,北京·丰台·太平桥,2025/3/31
北京,人工智能软硬件测试工程师,1.5-2万,,1-3年,硕士,全职,1,中国信息通信研究院,事业单位,1000-9999人,通信/网络设备,北京·海淀·花园路,2025/4/1
北京,人工智能产品经理,1.5-2.5万,,3-5年,本科,全职,1,中科信息安全共性技术国家工程研究中心有限公司,股份制企业,100-299人,计算机硬件,北京·海淀·海淀街道,2025/4/1
北京,数据标注项目经理（售前）,1.2-1.8万,,1-3年,大专,全职,1,数据堂,民营,300-499人,人工智能,北京,2025/3/26
北京,AI 工程师,1.1-1.6万·14薪,['AI机器人训练'],3-5年,本科,全职,1,北京牡丹电子集团有限责任公司,国企,500-999人,计算机软件,北京·海淀·花园路,2024/8/30
北京,人工智能政策研究专家,2-2.5万·13薪,['政府机构经验'],5-10年,本科,全职,1,北京信诺时代,国企,100-299人,IT服务,北京·海淀·花园路,2025/3/26
北京,AI工程师,面议,,3-5年,硕士,全职,2,国网信息通信产业集团有限公司,国企,1000-9999人,通信/网络设备,北京·昌平·小汤山,2025/3/22
北京,算法工程师,1.5-2.2万,"['机器学习', '图像算法', '机器视觉', '知识图谱', 'Python', 'C++', 'C#']",3-5年,本科,全职,1,北京汇丰隆经济技术开发有限公司,民营,20-99人,仪器仪表制造,北京·海淀·上地,2025/3/21
